"ISSN","TIULO","ESTRATO"
"00076503","BUSINESS & SOCIETY","A1"
"00076791","BUSINESS HISTORY","A2"
"00076805","BUSINESS HISTORY REVIEW","B2"
"00076813","BUSINESS HORIZONS","A1"
"00078506","CIRP ANNALS","A1"
"00079421","CADERNOS DE BIBLIOTECONOMIA, ARQUIVÍSTICA E DOCUMENTAÇ<U+F1C3>O","B3"
"00079421","CADERNOS DE BIBLIOTECONOMIA, ARQUIVISTICA E DOCUMENTACAO","B2"
"00079723","CAHIERS DE BIOLOGIE MARINE","B1"
"0007974X","CAHIERS DE DROIT (QUÉBEC)","A2"
"00080055","CAHIERS D'ÉTUDES AFRICAINES","A2"
"00080624","CALCOLO (ROMA. TESTO STAMPATO)","B2"
"0008347X","CANADIAN ENTOMOLOGIST","B2"
"0008350X","CANADIAN FAMILY PHYSICIAN","B1"
"00083674","CANADIAN GEOTECHNICAL JOURNAL (PRINT)","A1"
"00083984","CANADIAN JOURNAL OF ANIMAL SCIENCE","B1"
"00084026","CANADIAN JOURNAL OF BOTANY","B1"
"00084026","CANADIAN JOURNAL OF BOTANY (PRINT) (CESSOU EM 2007. CONT. ISSN 1916-2790 BOTANY (OTTAWA. PRINT))","B1"
"00084034","CANADIAN JOURNAL OF CHEMICAL ENGINEERING","A2"
"00084042","CANADIAN JOURNAL OF CHEMISTRY (PRINT)","B1"
"00084085","CANADIAN JOURNAL OF ECONOMICS","A1"
